"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id"
"995.9000000022352","<p> Welcome to the experiment!</p><p> <i> Press spacebar to continue </i> </p>","32","html-keyboard-response","0","1000","0.0-0.0-0.0"
"1805.300000000745","<p> There are multiple phases in this task. You will get instructions before each stage.</p><p> <i> Press the spacebar to continue </i> </p>","32","html-keyboard-response","1","2806","0.0-0.0-1.0"
"null","<p style='color:white;'>Data saving...</p><div class=""sk-cube-grid""><div class=""sk-cube sk-cube1""></div><div class=""sk-cube sk-cube2""></div><div class=""sk-cube sk-cube3""></div><div class=""sk-cube sk-cube4""></div><div class=""sk-cube sk-cube5""></div><div class=""sk-cube sk-cube6""></div><div class=""sk-cube sk-cube7""></div><div class=""sk-cube sk-cube8""></div><div class=""sk-cube sk-cube9""></div></div><p style='color:white;'>Do not close this window until the text dissapears.</p>","null","html-keyboard-response","2","7807","0.0-1.0"
